index,title,zipCode,neighborhood,councilDistrict,policeDistrict,Location
940,PONCABIRD PUB/SNACK SHACK,21224,Canton Industrial Area,1,SOUTHEASTERN,"1719 PONCABIRD PASS
Baltimore, MD"
941,POPEYES FAMOUS FRIED CHICKEN,21231,Dunbar-Broadway,12,SOUTHEASTERN,"300 BROADWAY
Baltimore, MD"
942,POPEYES FAMOUS FRIED CHICKEN,21224,Baltimore Highlands,1,SOUTHEASTERN,"3400 PULASKI HWY
Baltimore, MD"
943,POPEYES FAMOUS FRIED CHICKEN,21229,Rognel Heights,8,SOUTHWESTERN,"4404 EDMONDSON AVE
Baltimore, MD"
944,POPEYES FAMOUS FRIED CHICKEN,21206,Frankford,2,NORTHEASTERN,"5002 SINCLAIR LN
Baltimore, MD"
945,POPEYES FAMOUS FRIED CHICKEN,21212,Winston-Govans,4,NORTHERN,"5002 YORK RD
Baltimore, MD"
946,POPEYES FAMOUS FRIED CHICKEN,21206,Rosemont East,2,NORTHEASTERN,"6642 BELAIR RD
Baltimore, MD"
947,POPEYES FAMOUS FRIED CHICKEN,21230,Riverside,10,SOUTHERN,"887 FORT AVE
Baltimore, MD"
948,POPEYE'S FAMOUS FRIED CHICKEN & BISCUITS,21215,Reisterstown Station,5,NORTHWESTERN,"6512 reisterstown RD
Baltimore, MD"
949,POPEYES OF MONDAWMIN,21215,Mondawmin,7,WESTERN,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD"
950,PORT IN A STORM,21224,Kresson,2,SOUTHEASTERN,"4330 LOMBARD ST
Baltimore, MD"
951,PORT TRUCK STOP BAR  RESTAURANT,21224,Canton Industrial Area,1,SOUTHEASTERN,"1701 CLINTON ST
Baltimore, MD"
952,PORTERS PUB,21230,Federal Hill,10,SOUTHERN,"1032 RIVERSIDE AVE
Baltimore, MD"
953,REISTERSTOWN ROAD SUBWAY,21215,Woodmere,5,NORTHWESTERN,"5520 REISTERSTOWN ROAD
Baltimore, MD"
954,RENAISSANCE HARBORPLACE HOTEL,21202,Inner Harbor,11,CENTRAL,"200 PRATT ST
Baltimore, MD"
955,RENAISSANCE HARBORPLACE HOTEL,21202,Inner Harbor,11,CENTRAL,"200 202 E PRATT ST
Baltimore, MD"
956,RENAISSANCE HARBORPLACE HOTEL,21202,Inner Harbor,11,CENTRAL,"200 202 E PRATT ST
Baltimore, MD"
957,RENAISSANCE HARBORPLACE HOTEL,21202,Inner Harbor,11,CENTRAL,"200 202 E PRATT ST
Baltimore, MD"
958,RENDEZVOUS  LOUNGE,21218,Charles Village,7,NORTHERN,"136 25TH ST
Baltimore, MD"
959,restaurante el trovador,21231,Fells Point,1,SOUTHEASTERN,"318 broadway
Baltimore, MD"
960,restaurate el salvador,21231,Fells Point,1,SOUTHEASTERN,"207 broadway
Baltimore, MD"
961,RICK'S BAR & GRILL,21226,Curtis Bay,10,SOUTHERN,"5014 CURTIS AVE
Baltimore, MD"
962,RITA'S ITALIAN ICE,21215,Fallstaff,5,NORTHWESTERN,"6796 REISTERSTOWN RD
Baltimore, MD"
963,ROBBIE'S NEST,21213,Broadway East,12,EASTERN,"2250 NORTH AVE
Baltimore, MD"
964,ROBERT OLIVER SEAFOOD,21201,Mid-Town Belvedere,11,CENTRAL,"1225 CATHEDRAL ST
Baltimore, MD"
965,ROCCO'S CAPRICCIO,21202,Little Italy,1,SOUTHEASTERN,"242 HIGH ST
Baltimore, MD"
966,"ROCK ""N"" ROBIN CAFE",21225,Brooklyn,10,SOUTHERN,"3733 HANOVER ST
Baltimore, MD"
967,ROCKET TO VENUS (3358-3360),21211,Hampden,7,NORTHERN,"3358 CHESTNUT AVE
Baltimore, MD"
968,RODOS  BAR,21231,Fells Point,1,SOUTHEASTERN,"719 BROADWAY
Baltimore, MD"
969,ROMAN'S PLACE,21224,Baltimore-Linwood,1,SOUTHEASTERN,"2 DECKER AVE
Baltimore, MD"
970,ROOTS UNLIMITED,21223,Penrose/Fayette Street Outreach,9,WESTERN,"2148 VINE ST
Baltimore, MD"
971,ROPEWALK TAVERN,21230,Federal Hill,10,SOUTHERN,"1209 CHARLES ST
Baltimore, MD"
972,ROSIE'S,21223,Carrollton Ridge,9,SOUTHWESTERN,"482 BENTALOU ST
Baltimore, MD"
973,ROSITAS RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"206 BROADWAY
Baltimore, MD"
974,ROYAL RESTAURANT,21202,Downtown,11,CENTRAL,"206 LEXINGTON ST
Baltimore, MD"
975,ROYAL VILLAGE,21220,Federal Hill,10,SOUTHERN,"1033 LIGHT ST
Baltimore, MD"
976,"ROY'S EAST ATLANTIC I, LIMITED PARTNERSHIP",21202,Inner Harbor,1,SOUTHEASTERN,"720 ALICEANNA ST
Baltimore, MD"
977,RUB BARBEQUE,21230,Riverside,10,SOUTHERN,"1843 LIGHT STREET
Baltimore, MD"
978,RUBY TUESDAY,21239,Loch Raven,4,NORTHEASTERN,"1728 NORTHERN PKWY
Baltimore, MD"
979,RUBY TUESDAY,21218,Charles Village,14,NORTHERN,"3003 CHARLES ST
Baltimore, MD"
980,RUMOR BAR AND GRILL,21205,McElderry Park,13,SOUTHEASTERN,"2600 MONUMENT ST
Baltimore, MD"
981,RUSSELL SERNOCKY AMERICAN LEGION POST #184,21223,New Southwest/Mount Clare,9,SOUTHERN,"1410 PRATT ST
Baltimore, MD"
982,RUSTY SCUPPER,21230,Federal Hill,11,CENTRAL,"402 KEY HWY
Baltimore, MD"
983,RUTH E'S PLACE,21223,Millhill,9,SOUTHWESTERN,"2696 WILKENS Ave
Baltimore, MD"
984,RUTH'S CHRIS STEAK HOUSE,21202,Downtown,11,CENTRAL,"600 WATER ST
Baltimore, MD"
985,RUTH'S CHRIS STEAK HOUSE,21201,Inner Harbor,11,CENTRAL,"711 EASTERN AVE
Baltimore, MD"
986,RUTLAND BAR,21213,Broadway East,12,EASTERN,"1508 RUTLAND AVE
Baltimore, MD"
987,RYAN'S DAUGHTER,21212,Chinquapin Park-Belvedere,4,NORTHERN,"600 BELVEDERE AVE
Baltimore, MD"
988,RYLEIGH'S OYSTERS,21230,Federal Hill,10,SOUTHERN,"36 CROSS ST
Baltimore, MD"
989,S.O.S BAR & LOUNGE,21224,Baltimore-Linwood,1,SOUTHEASTERN,"2511 FAYETTE ST
Baltimore, MD"
990,SABATINO'S RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"901 FAWN ST
Baltimore, MD"
991,saigon remembered restaurant,21212,Mid-Govans,4,NORTHERN,"5857 york rd
Baltimore, MD"
992,SAINT BENEDICT BOOSTER CLUB,21223,Millhill,9,SOUTHWESTERN,"2612 WILKENS AVE
Baltimore, MD"
993,SALSA RICO,21210,Loyola/Notre Dame,6,NORTHERN,"4501 CHARLES ST
Baltimore, MD"
994,SALSARITA'S FRESH CANTINA,21201,Downtown,11,CENTRAL,"324 BALTIMORE ST
Baltimore, MD"
995,SALT,21231,Upper Fells Point,1,SOUTHEASTERN,"2127 PRATT ST
Baltimore, MD"
996,SAMMY'S TRATTORIA,21201,Mid-Town Belvedere,12,CENTRAL,"1200 CHARLES ST
Baltimore, MD"
997,SAMOS RESTAURANT,21224,Greektown,2,SOUTHEASTERN,"600 OLDHAM ST
Baltimore, MD"
998,SAMPSON'S RESTAURANT,21223,Poppleton,11,WESTERN,"946 FAYETTE ST
Baltimore, MD"
999,SAM'S BAGELS,21230,Federal Hill,10,SOUTHERN,"915 LIGHT ST
Baltimore, MD"
1000,SAND MAN,21224,Canton,1,SOUTHEASTERN,"708 BAYLIS ST
Baltimore, MD"
1001,SANDPIPER,21223,Poppleton,9,WESTERN,"1126 BALTIMORE ST
Baltimore, MD"
1002,SANDY'S CAFE,21224,Baltimore Highlands,1,SOUTHEASTERN,"3601 PULASKI HWY
Baltimore, MD"
1003,SANTA ANA RESTURANT,21231,Fells Point,1,SOUTHEASTERN,"246 BROADWAY
Baltimore, MD"
1004,SBARRO INC.,21202,Inner Harbor,11,CENTRAL,"200 PRATT ST
Baltimore, MD"
1005,SBARRO ITALIAN EATERY,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5625 O DONNELL ST
Baltimore, MD"
1006,SCHAEFER'S BAR & RESTAURANT,21230,SBIC,10,SOUTHERN,"121 RANDALL ST
Baltimore, MD"
1007,SCORES,21202,Penn-Fallsway,11,EASTERN,"615 FALLSWAY
Baltimore, MD"
1008,serdenes restaurant,21205,Pulaski Industrial Area,2,SOUTHEASTERN,"5603 pulaski hwy
Baltimore, MD"
1009,S'GHETTI EDDIE'S,21210,Evergreen,6,NORTHERN,"414 COLD SPRING LN
Baltimore, MD"
1010,SHAFFERS,21230,Washington Village,9,SOUTHERN,"1184 CLEVELAND ST
Baltimore, MD"
1011,SHAHRAZAD'S INTERNATIONAL NEO-SOUL,21230,Washington Village,11,SOUTHERN,"771 WASHINGTON BLVD
Baltimore, MD"
1012,SHANE'S SANDWICH SHOP,21201,Downtown,11,CENTRAL,"142 FAYETTE ST
Baltimore, MD"
1013,SHARKY'S BAR & GRILL,21224,Canton,1,SOUTHEASTERN,"2819 EASTERN AVE
Baltimore, MD"
1014,SHED ROW,21231,Upper Fells Point,1,SOUTHEASTERN,"1901 GOUGH ST
Baltimore, MD"
1015,SHELDON'S LOUNGE,21206,Belair-Edison,13,NORTHEASTERN,"4325 BELAIR RD
Baltimore, MD"
1016,SHERATON BALTIMORE CITY CTR HOTEL (BANQUET),21201,Downtown,11,CENTRAL,"101 FAYETTE ST
Baltimore, MD"
1017,SHERATON INNER HARBOR HOTEL - ORIOLES GRILL,21201,Inner Harbor,11,CENTRAL,"300 CHARLES ST
Baltimore, MD"
1018,SHERATON INNER HARBOR HOTEL -EMPLOYEE'S CAFETERIA,21201,Inner Harbor,11,CENTRAL,"300 CHARLES ST
Baltimore, MD"
1019,SHERATON INNER HARBOR HOTEL-MAIN KITCHEN,21201,Inner Harbor,11,CENTRAL,"300 CHARLES ST
Baltimore, MD"
1020,SHERRIES,21224,Baltimore Highlands,2,SOUTHEASTERN,"3821 PULASKI HWY
Baltimore, MD"
1021,SHERRY'S PLACE,21231,Fells Point,1,SOUTHEASTERN,"238 BROADWAY
Baltimore, MD"
1022,SHIRLEY'S  HONEY HOLE,21213,Broadway East,13,EASTERN,"2300 OLIVER ST
Baltimore, MD"
1023,SHORTY'S,21224,Canton,1,SOUTHEASTERN,"3301 FOSTER AVE
Baltimore, MD"
1024,SHUCKERS OF FELLS POINT,21231,Fells Point,1,SOUTHEASTERN,"1629 THAMES ST
Baltimore, MD"
1025,SHULA'S @ SHERATON BALTIMORE CITY CTR HOTEL,21201,Downtown,11,CENTRAL,"101 FAYETTE ST
Baltimore, MD"
1026,SIDE  BAR  (218-220),21202,Downtown,11,CENTRAL,"218 lexington ST
Baltimore, MD"
1027,SID'S TAVERN,21230,Washington Village,9,SOUTHERN,"1100 WASHINGTON BLVD
Baltimore, MD"
1028,SIGN OF THE TIMES  (137-39),21224,Baltimore-Linwood,1,SOUTHEASTERN,"137 BELNORD AVE
Baltimore, MD"
1029,SIG'S BAR,21231,Fells Point,1,SOUTHEASTERN,"628 BROADWAY
Baltimore, MD"
1030,SILK ROAD EXPRESS-MATTIN CENTER  J H U,21218,Charles Village,14,NORTHERN,"3400 CHARLES ST
Baltimore, MD"
1031,SILK'S TAVERN,21224,Canton,1,SOUTHEASTERN,"2641 HUDSON ST
Baltimore, MD"
1032,SILVER STAR RESTAURANT/CARRYOUT,21218,East Baltimore Midway,12,EASTERN,"801 BONAPARTE AVE
Baltimore, MD"
1033,SIP & BITE RESTAURANT,21231,Canton,1,SOUTHEASTERN,"2200 BOSTON ST
Baltimore, MD"
1034,SIR'S DELI,21202,Mid-Town Belvedere,12,CENTRAL,"1101 ST PAUL #101 ST
Baltimore, MD"
1035,SISSON STREET SUBWAY,21211,Remington,7,NORTHERN,"2725 SISSON STREET
Baltimore, MD"
1036,SISTA'  SANDRA'S INTERNATIONAL CUSINE,21215,Reisterstown Station,5,NORTHWESTERN,"6212 REISTERSTOWN RD
Baltimore, MD"
1037,SKEETER'S,21230,Morrell Park,10,SOUTHWESTERN,"2506 WASHINGTON BLVD
Baltimore, MD"
1038,SKY LOUNGE/ TANGO TAPAS,21230,Federal Hill,10,SOUTHERN,"1041 MARSHALL ST
Baltimore, MD"
1039,SKYBOX BAR & GRILL,21230,Riverside,10,SOUTHERN,"823 FORT AVE
Baltimore, MD"
1040,SLAINTE IRISH PUB & RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"1700 THAMES ST
Baltimore, MD"
1041,SLIDERS BAR & GRILL,21230,Inner Harbor,11,SOUTHERN,"504 WASHINGTON BLVD
Baltimore, MD"
1042,SLIM ACE OF CLUB,21206,Belair-Edison,13,NORTHEASTERN,"4200 BELAIR RD
Baltimore, MD"
1043,SLY FOX PUB,21230,Riverside,10,SOUTHERN,"554 FORT AVE
Baltimore, MD"
1044,SMEDLY'S,21231,Fells Point,1,SOUTHEASTERN,"600 WOLFE ST
Baltimore, MD"
1045,smiley's tavern,21223,New Southwest/Mount Clare,9,SOUTHERN,"1525 RAMSAY ST
Baltimore, MD"
1046,SMITH PLACE,21218,East Baltimore Midway,12,EASTERN,"2006 HARFORD RD
Baltimore, MD"
1047,SMITTIE'S BAR & LOUNGE,21216,Coppin Heights/Ash-Co-East,7,WESTERN,"1660 WARWICK AVE
Baltimore, MD"
1048,SOBO CAFE'  (6-8 W. CROSS ST.),21230,Federal Hill,10,SOUTHERN,"6 CROSS ST
Baltimore, MD"
1049,SODEXHO  sunpapers,21225,Port Covington,10,SOUTHERN,"300 CROMWELL ST
Baltimore, MD"
1050,"SODEXHO MANAGEMENT, INC.",21230,Carroll - Camden Industrial Area,9,SOUTHERN,"1800 WASHINGTON BLVD
Baltimore, MD"
1051,SODEXHO MANAGEMENT. INC,21202,Mount Vernon,11,CENTRAL,"501 CALVERT ST
Baltimore, MD"
1052,SODEXHO/ FEDERAL RESERVE BANK,21201,Otterbein,11,SOUTHERN,"502 SHARP ST
Baltimore, MD"
1053,SOFI'S CREPES,21202,Downtown,11,CENTRAL,"333 charles ST
Baltimore, MD"
1054,SONAR,21202,Downtown,11,CENTRAL,"407 SARATOGA ST
Baltimore, MD"
1055,SON-SON LIQUOR & TAVERN,21201,Downtown,11,CENTRAL,"308 EUTAW ST
Baltimore, MD"
1056,SOTTO SOPRA,21201,Downtown,11,CENTRAL,"405 CHARLES ST
Baltimore, MD"
1057,SOUL SOURCE,21223,Midtown-Edmondson,9,WESTERN,"2101 EDMONDSON AVE
Baltimore, MD"
1058,SOUP'S ON BALTIMORE,21201,Mid-Town Belvedere,11,CENTRAL,"11 PRESTON STREET
Baltimore, MD"
1059,SOUTHERN ACCENTS,21231,Fells Point,1,SOUTHEASTERN,"814 BROADWAY
Baltimore, MD"
1060,SOUTHSIDE SALOON,21230,Riverside,10,SOUTHERN,"430 FORT AVE
Baltimore, MD"
1061,SOUVLAKI  PLACE,21224,Greektown,2,SOUTHEASTERN,"4706 EASTERN ave
Baltimore, MD"
1062,SPARTAN PIZZERIA RESTAURANT,21224,Highlandtown,2,SOUTHEASTERN,"3600 EASTERN AVE
Baltimore, MD"
1063,SPEAKEASY SALOON,21224,Canton,1,SOUTHEASTERN,"2840 O DONNELL ST
Baltimore, MD"
1064,SPECTRUM CATERING,21201,Downtown,11,CENTRAL,"12 EUTAW ST
Baltimore, MD"
1065,SPIRITS & MORE,21223,Penrose/Fayette Street Outreach,9,WESTERN,"255 PAYSON ST
Baltimore, MD"
1066,SPIRITS TAVERN,21231,Upper Fells Point,1,SOUTHEASTERN,"1901 BANK ST
Baltimore, MD"
1067,"SPIRITS WEST,INC",21223,Millhill,9,SOUTHWESTERN,"2601 WILKENS AVE
Baltimore, MD"
1068,SPOONS COFFEE,21230,Federal Hill,10,SOUTHERN,"24 CROSS ST
Baltimore, MD"
1069,SPORTS CAFE,21224,Canton,1,SOUTHEASTERN,"1224 CLINTON ST
Baltimore, MD"
1070,SPORTS PALACE,21215,Pimlico Good Neighbors,5,NORTHWESTERN,"Hayward Ave
Baltimore, MD"
1071,SPORTSMAN LOUNGE BAR,21207,Howard Park,5,NORTHWESTERN,"4725 GWYNN OAK AVE
Baltimore, MD"
1072,SPORTSMAN SPOT,21224,Greektown,2,SOUTHEASTERN,"501 LEHIGH ST
Baltimore, MD"
1073,"SPORTSTERS, INC.",21223,Carrollton Ridge,9,SOUTHWESTERN,"2148 WILKENS AVE
Baltimore, MD"
1074,ST. MARY'S (118-120),21218,Charles Village,7,NORTHERN,"118 25TH ST
Baltimore, MD"
1075,STADIUM LOUNGE,21218,Oakenshawe,14,NORTHERN,"3351 53 GREENMOUNT AVE
Baltimore, MD"
1076,STAGE DOOR/ENCORE,21202,Downtown,11,CENTRAL,"5 COMMERCE ST
Baltimore, MD"
1077,STALKING HORSE,21230,Federal Hill,10,SOUTHERN,"26 CROSS ST
Baltimore, MD"
1078,STANLEY'S DRIVE INN,21205,Orangeville,2,EASTERN,"4215 MONUMENT ST
Baltimore, MD"
1079,STARBUCKS,21202,Inner Harbor,11,CENTRAL,"301 LIGHT ST
Baltimore, MD"
1080,STARBUCKS  COFFEE #746,21209,Sabina-Mattfeldt,5,NORTHERN,"1340 SMITH AVE
Baltimore, MD"
1081,STARBUCKS COFFEE,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD"
1082,STARBUCKS COFFEE,21218,Charles Village,14,NORTHERN,"3201 ST PAUL ST
Baltimore, MD"
1083,STARBUCKS COFFEE COMPANY,21201,Downtown,11,CENTRAL,"1 EUTAW ST
Baltimore, MD"
1084,STARBUCKS CORPORATION,21201,Mid-Town Belvedere,12,CENTRAL,"1209 CHARLES ST
Baltimore, MD"
1085,STARLITE LOUNGE,21217,Shipley Hill,9,SOUTHWESTERN,"2701 FAIRMOUNT AVE
Baltimore, MD"
1086,STARTERS TAVERN,21230,Cherry Hill,10,SOUTHERN,"3311 ANNAPOLIS RD
Baltimore, MD"
1087,STATION NORTH ARTS CAF?�,21201,Charles North,12,CENTRAL,"1816 CHARLES ST
Baltimore, MD"
1088,STEELWORKERS HOLDING COMPANY,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"540 DUNDALK AVE
Baltimore, MD"
1089,STEEPLE CHASE II,21213,Biddle Street,13,EASTERN,"2401 CHASE ST
Baltimore, MD"
1090,STOCKMARKET BAR,21225,Brooklyn,10,SOUTHERN,"3538 HANOVER ST
Baltimore, MD"
1091,SUBWAY,21213,Oliver,12,EASTERN,"1400 NORTH AVE
Baltimore, MD"
1092,SUBWAY,21251,Stonewood-Pentwood-Winston,3,NORTHEASTERN,"1700 COLDSPRING LN
Baltimore, MD"
1093,subway,21202,Downtown,11,CENTRAL,"200 lexington st
Baltimore, MD"
1094,SUBWAY,21230,Lakeland,10,SOUTHERN,"2149 PATAPSCO AVE
Baltimore, MD"
1095,SUBWAY,21202,Downtown,11,CENTRAL,"423 BALTIMORE ST
Baltimore, MD"
1096,SUBWAY,21287,Dunbar-Broadway,13,EASTERN,"600 WOLFE ST
Baltimore, MD"
1097,SUBWAY,21229,Violetville,8,SOUTHWESTERN,"900 CATON AVE
Baltimore, MD"
1098,SUBWAY  RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"632 BROADWAY
Baltimore, MD"
1099,SUBWAY 1301 N. CHARLES ST,21201,Mid-Town Belvedere,12,CENTRAL,"1301 CHARLES ST
Baltimore, MD"
1100,SUGAR HILL TAVERN & PKG.,21217,Penn North,11,WESTERN,"2361 DRUID HILL AVE
Baltimore, MD"
1101,SUN FLOWER DELI,21218,Charles Village,12,NORTHERN,"2436 CHARLES ST
Baltimore, MD"
1102,SUN HING CHINESE FOOD CARRYOUT,21230,SBIC,10,SOUTHERN,"1451 LIGHT ST
Baltimore, MD"
1103,SUNLIGHT LOUNGE,21231,Fells Point,1,SOUTHEASTERN,"1713 EASTERN AVE
Baltimore, MD"
1104,"SURN-N-JOE""S",21210,Loyola/Notre Dame,6,NORTHERN,"4501 CHARLES ST
Baltimore, MD"
1105,SURVIVOR'S SPORTS BAR (606-08),21225,Brooklyn,10,SOUTHERN,"606 PATAPSCO AVE
Baltimore, MD"
1106,SUSHI-SAN RESTAURANT,21224,Canton,1,SOUTHEASTERN,"2748 LIGHTHOUSE POINT
Baltimore, MD"
1107,SUZIE' SOBA,21202,Downtown,11,CENTRAL,"7 CALVERT ST
Baltimore, MD"
1108,SUZIE'S SOBA,21211,Hampden,7,NORTHERN,"1009 36TH ST
Baltimore, MD"
1109,SWEET MELON CAF?�,21202,Downtown,11,CENTRAL,"111 CHARLES ST
Baltimore, MD"
1110,SWEET RETREAT CAF?�,21218,Charles Village,14,NORTHERN,"3215 CHARLES ST
Baltimore, MD"
1111,SZE-CHUAN RESTAURANT,21230,Federal Hill,10,SOUTHERN,"1125 CHARLES ST
Baltimore, MD"
1112,T N C. INC. (4106-4108),21229,Irvington,8,SOUTHWESTERN,"4106 FREDERICK AVE
Baltimore, MD"
1113,T.D.F. CORPORATION,21229,Violetville,8,SOUTHWESTERN,"1401 BLOOMFIELD AVE
Baltimore, MD"
1114,TABRIZI'S,21230,Inner Harbor,10,SOUTHERN,"500 HARBORVIEW DR
Baltimore, MD"
1115,TACO BELL,21224,Ellwood Park/Monument,1,SOUTHEASTERN,"3319 PULASKI HWY
Baltimore, MD"
1116,TACO BELL & LONG JOHN SILVERS,21230,Lakeland,10,SOUTHERN,"3110 HOLLINS FERRY RD
Baltimore, MD"
1117,TACO FIESTA,21202,Inner Harbor,1,SOUTHEASTERN,"618 EXETER ST
Baltimore, MD"
1118,TAKI'S PIZZA CARRYOUT RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"527 BROADWAY
Baltimore, MD"
1119,TALAY THAI GRILLE,21231,Fells Point,1,SOUTHEASTERN,"1911 ALICEANNA ST
Baltimore, MD"
1120,TALKING HEAD CLUB,21202,Downtown,11,CENTRAL,"203 DAVIS ST
Baltimore, MD"
1121,TAMBER'S,21218,Charles Village,14,NORTHERN,"3327 ST PAUL ST
Baltimore, MD"
1122,TAM-TAM,21212,Mid-Govans,4,NORTHERN,"5722 YORK RD
Baltimore, MD"
1123,TAPAS TEATRO CAF?�,21201,Charles North,12,CENTRAL,"1711 CHARLES ST
Baltimore, MD"
1124,TASTE,21212,Mid-Govans,4,NORTHERN,"510 BELVEDERE AVE
Baltimore, MD"
1125,TASTE INTERNATIONAL RESTAURANT,21226,Curtis Bay Industrial Area,10,SOUTHERN,"4314 CURTIS AVE
Baltimore, MD"
1126,TASTE INTERNATIONAL RESTAURANT & LOUNGE/BAR,-21226,Curtis Bay Industrial Area,10,SOUTHERN,"4314 CURTIS AVENUE
Baltimore, MD"
1127,TAYLOR'S 5000 TAVERN,21226,Curtis Bay,10,SOUTHERN,"5000 PENNINGTON AVE
Baltimore, MD"
1128,TAYLORS EAST,21213,Berea,13,EASTERN,"1201 POTOMAC ST
Baltimore, MD"
1129,TEN-O-SIX,21230,Federal Hill,10,SOUTHERN,"1006 LIGHT ST
Baltimore, MD"
1130,TEQUILA SUNSET,21217,Penn North,7,WESTERN,"2705 PENNSYLVANIA AVE
Baltimore, MD"
1131,THAI  LANDING,21201,Mid-Town Belvedere,12,CENTRAL,"1207 CHARLES ST
Baltimore, MD"
1132,THAI ARROY RESTAURANT,21230,Federal Hill,10,SOUTHERN,"1019 LIGHT ST
Baltimore, MD"
1133,THAI RESTAURANT,21218,Oakenshawe,14,NORTHERN,"3316 GREENMOUNT AVE
Baltimore, MD"
1134,THE 8 x 10,21230,Federal Hill,10,SOUTHERN,"10 CROSS ST
Baltimore, MD"
1135,THE ADMIRAL'S CUP,21231,Fells Point,1,SOUTHEASTERN,"1645 THAMES ST
Baltimore, MD"
1136,THE AMERICAN LEGION,21230,Morrell Park,10,SOUTHWESTERN,"1508 DESOTO RD
Baltimore, MD"
1137,THE BALTIMORE SYMPHONY ORCHESTRA,21202,Mid-Town Belvedere,11,CENTRAL,"1212 CATHEDRAL ST
Baltimore, MD"
1138,"THE BALTIMORE VETS ASSOC., INC. CHPT #451",21224,Holabird Industrial Park,1,SOUTHEASTERN,"6401 BECKLEY ST
Baltimore, MD"
1139,THE BICYCLE,21230,SBIC,10,SOUTHERN,"1444 LIGHT ST
Baltimore, MD"
1140,THE BISTRO,21231,Fells Point,1,SOUTHEASTERN,"1718 LANCASTER ST
Baltimore, MD"
1141,THE BRASS ELEPHANT,21201,Mount Vernon,11,CENTRAL,"924 CHARLES ST
Baltimore, MD"
1142,THE BREWER'S ART,21201,Mid-Town Belvedere,12,CENTRAL,"1106 CHARLES ST
Baltimore, MD"
1143,THE BROOKSHIRE  INNER  HARBOR  SUITE  HOTEL,21202,Inner Harbor,11,CENTRAL,"120 LOMBARD ST
Baltimore, MD"
1144,THE CANTON LIQUOR HOUSE,21231,Fells Point,1,SOUTHEASTERN,"1822 FLEET ST
Baltimore, MD"
1145,THE CAPITAL GRILLE,21202,Inner Harbor,11,CENTRAL,"500 PRATT ST
Baltimore, MD"
1146,THE CARIBBEAN AMERICAN HEAT,21207,Howard Park,5,NORTHWESTERN,"4740 LIBERTY HEIGHTS AVE
Baltimore, MD"
1147,THE CATS EYE PUB,21231,Fells Point,1,SOUTHEASTERN,"1730 THAMES ST
Baltimore, MD"
1148,The Chameleon Caf�??',21214,Lauraville,3,NORTHEASTERN,"4341 harford rd
Baltimore, MD"
1149,THE CHEESECAKE  FACTORY,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD"
1150,THE CHINA DOLL,21201,Downtown,11,CENTRAL,"406 PARK AVE
Baltimore, MD"
1151,THE CRAB PIT,21223,Gwynns Falls,8,SOUTHWESTERN,"2801 WILKENS AVE
Baltimore, MD"
1152,THE DEN LLC,21218,Charles Village,14,NORTHERN,"3327 ST PAUL ST
Baltimore, MD"
1153,THE DEPOT,21201,Charles North,12,CENTRAL,"1728 CHARLES ST
Baltimore, MD"
1154,THE DRINKERY,21201,Mount Vernon,11,CENTRAL,"203 READ ST
Baltimore, MD"
1155,THE EDGE BAR & LOUNGE,21213,Broadway East,12,EASTERN,"2015 FEDERAL ST
Baltimore, MD"
1156,THE EDGE BAR & LOUNGE - KITCHEN AREA,21213,Broadway East,12,EASTERN,"2015 FEDERAL ST
Baltimore, MD"
1157,THE ENGINEER'S SOCIETY OF BALTIMORE,21201,Mount Vernon,11,CENTRAL,"11 MOUNT VERNON PL
Baltimore, MD"
1158,THE EVERGREEN,21210,Roland Park,6,NORTHERN,"501 COLDSPRING LN
Baltimore, MD"
1159,THE FAIRMOUNT INN,21224,Baltimore Highlands,1,SOUTHEASTERN,"3537 FAIRMOUNT AVE
Baltimore, MD"
1160,THE GARDENVILLE CLUB,21206,Frankford,2,NORTHEASTERN,"5405 RADECKE AVE
Baltimore, MD"
1161,THE GARRETT LOUNGE,21218,Coldstream Homestead Montebello,14,NORTHEASTERN,"2510 GARRETT AVE
Baltimore, MD"
1162,THE GENTLEMAN'S GOLD CLUB,21205,Armistead Gardens,2,SOUTHEASTERN,"5801 PULASKI HWY
Baltimore, MD"
1163,THE GIN  MILL,21224,Canton,1,SOUTHEASTERN,"2300 BOSTON ST
Baltimore, MD"
1164,THE GLASS GRILL,21224,Eastwood,2,SOUTHEASTERN,"6804 EASTERN AVE
Baltimore, MD"
1165,THE GODDESS,21201,Downtown,11,CENTRAL,"36 EUTAW ST
Baltimore, MD"
1166,THE GREENE TURTLE,21231,Fells Point,1,SOUTHEASTERN,"722 BROADWAY
Baltimore, MD"
1167,THE HOLLOW BAR & GRILL,21212,Rosebank,4,NORTHERN,"5921 YORK RD
Baltimore, MD"
1168,THE HORSE YOU CAME IN ON,21231,Fells Point,1,SOUTHEASTERN,"1626 THAMES ST
Baltimore, MD"
