index,title,zipCode,neighborhood,councilDistrict,policeDistrict,Location
902,"PATTERSON PERK, LLC",21224,Canton,1,SOUTHEASTERN,"2501 EASTERN AVE
Baltimore, MD"
903,PATTY CAKES,21218,Lauraville,3,NORTHEASTERN,"2301 ARGONNE DR
Baltimore, MD"
904,PAUL'S,21230,Riverside,10,SOUTHERN,"701 FORT AVE
Baltimore, MD"
905,PAZO,21231,Fells Point,1,SOUTHEASTERN,"1425 ALICEANNA ST
Baltimore, MD"
906,PAZZA LUNA,21230,Locust Point,10,SOUTHERN,"1401 CLEMENT ST
Baltimore, MD"
907,peabody court a clairon hotel,21201,Mount Vernon,11,CENTRAL,"612 cathedral st
Baltimore, MD"
908,PEARL'S,21231,Fells Point,1,SOUTHEASTERN,"1900 ALICEANNA ST
Baltimore, MD"
909,PEIWEI ASIAN DINER,21212,Cedarcroft,4,NORTHERN,"6302 YORK RD
Baltimore, MD"
910,peking house,21225,Brooklyn,10,SOUTHERN,"3606 hanover st
Baltimore, MD"
911,PENN LIQUORS,21202,Johnston Square,12,EASTERN,"1041 GREENMOUNT AVE
Baltimore, MD"
912,PENN RESTAURANT & CARRYOUT,21201,University Of Maryland,11,CENTRAL,"663 PRATT ST
Baltimore, MD"
913,PENN STREET TAVERN,21230,Ridgely's Delight,11,SOUTHERN,"213 PENN ST
Baltimore, MD"
914,PENNINGTON   STATION,21226,Curtis Bay,10,SOUTHERN,"4901 PENNINGTON AVE
Baltimore, MD"
915,PENNINGTON'S PUB      (5 & 7 W. PATAPSCO AVE.),21225,Brooklyn,10,SOUTHERN,"7 PATAPSCO AVE
Baltimore, MD"
916,PEPINO'S INCORPORATED,21202,Little Italy,1,SOUTHEASTERN,"301 EXETER ST
Baltimore, MD"
917,PEPPER'S LIQUOR'S,21215,Woodmere,5,NORTHWESTERN,"5440 REISTERSTOWN RD
Baltimore, MD"
918,PERGUSA ENTERPRISES,21212,Rosebank,4,NORTHERN,"5928 YORK RD
Baltimore, MD"
919,PETALO'S,21202,Little Italy,1,SOUTHEASTERN,"1002 EASTERN AVE
Baltimore, MD"
920,PETERS POUR HOUSE AND PUB 110,21202,Downtown,11,CENTRAL,"111 MERCER ST
Baltimore, MD"
921,PETE'S GRILLE,21218,Better Waverly,14,NORTHERN,"3130 GREENMOUNT AVE
Baltimore, MD"
922,"PETE'S INN, INCORPORATED",21231,Fells Point,1,SOUTHEASTERN,"504 ANN ST
Baltimore, MD"
923,PETIT LOUIS BISTRO,21210,Roland Park,6,NORTHERN,"4800 ROLAND AVE
Baltimore, MD"
